키워드,카테고리,세부,고정비,귀속,메모
# 위에서부터 먼저 맞는 줄이 이긴다. '내용'에 키워드가 부분 포함되면 적용. 귀속은 비우면 계좌의 owner.
# 이 파일은 인터뷰 답이 쌓이는 '학습장'이다. 아래는 공통 시드 — 누구에게나 같은 브랜드·기관. 개인 사정(사람 이름·월세 상대)은 private/rules.csv 에만.
# PG사(이니시스·KCP·NICE페이·토스페이먼츠·모빌PG·페이스토리)는 가맹점을 숨기므로 룰로 못 정한다 → AI가 날짜·금액으로 "이날 뭐 샀어요?"라고 묻는다.
# --- 편의점 / 마트 / 배달
GS25,카페/간식,편의점,N,,
씨유,카페/간식,편의점,N,,
CU,카페/간식,편의점,N,,
이마트24,카페/간식,편의점,N,,
세븐일레븐,카페/간식,편의점,N,,
다이소,생활,생활용품,N,,
쿠팡이츠,식사,배달,N,,
배달의민족,식사,배달,N,,
요기요,식사,배달,N,,
컬리,생활,온라인장보기,N,,
쿠팡,생활,온라인장보기,N,,
# --- 카페 / 베이커리
스타벅스,카페/간식,카페,N,,
파리바게뜨,카페/간식,베이커리,N,,
뚜레쥬르,카페/간식,베이커리,N,,
투썸,카페/간식,카페,N,,
메가엠지씨,카페/간식,카페,N,,
컴포즈,카페/간식,카페,N,,
# --- 구독 (고정비)
넷플릭스,구독,OTT,Y,,
디즈니 플러스,구독,OTT,Y,,
유튜브프리미엄,구독,OTT,Y,,
Google,구독,소프트웨어,Y,,Google One·YouTube 등 — 금액 다르면 AI가 확인
APPLE,구독,소프트웨어,Y,,iCloud·앱 결제
네이버플러스멤버십,구독,멤버십,Y,,
쿠팡와우,구독,멤버십,Y,,
나이스_마이홈,구독,멤버십,Y,,
# --- 교통 / 차량
모바일티머니,교통,대중교통,N,,
하이패스,교통,하이패스,N,,
한국자동차환경협회,자동차,충전,N,,전기차 충전
Tesla Korea,자동차,할부,Y,,
쏘카,교통,렌트,N,,
카카오T,교통,택시,N,,
# --- 의료
약국,의료/건강,약국,N,,
이비인후과,의료/건강,병원,N,,
치과,의료/건강,병원,N,,
한의원,의료/건강,병원,N,,
내과,의료/건강,병원,N,,
소아과,의료/건강,아이병원,N,,
의료법인,의료/건강,병원,N,,
# --- 보험 (고정비)
현대해상,보험,현대해상,Y,,
케이비손해보험,보험,KB손해보험,Y,,
삼성화재,보험,삼성화재,Y,,
DB손해보험,보험,DB손해보험,Y,,
# --- 세금 / 공과금 / 통신
금융결제원,세금/수수료,세금(지로),N,,인터넷지로 — 재산세·자동차세 등
관리비,주거/통신,관리비,Y,,
SKT,주거/통신,통신비,Y,,
KT,주거/통신,통신비,Y,,
LG유플러스,주거/통신,통신비,Y,,
한국전력,주거/통신,공과금,Y,,
도시가스,주거/통신,공과금,Y,,
# --- 쇼핑 / 의류
올리브영,의복/미용,화장품,N,,
유니클로,의복/미용,옷,N,,
탑텐,의복/미용,옷,N,,
무인양품,생활,생활용품,N,,
이케아,생활,가구·인테리어,N,,
당근페이,생활,중고거래,N,,당근마켓 — 품목은 알 수 없음. 큰 건만 AI가 확인
토스쇼핑,생활,온라인쇼핑,N,,
world.taobao.com,생활,해외직구,N,,
AMAZON,생활,해외직구,N,,
# --- 문화 / 여가 / 여행
교보문고,문화/여가,도서,N,,
CGV,문화/여가,영화,N,,
메가박스,문화/여가,영화,N,,
에버랜드,문화/여가,테마파크,N,,
여기어때,여행/숙박,숙박,N,,
야놀자,여행/숙박,숙박,N,,
# --- 육아
기저귀,육아,아이용품,N,,
물티슈,육아,아이용품,N,,
어린이집,육아,보육료,Y,,
